member.id,age,gender,ad.group,prev.purchase,n.visit,predicted.incomeleve,visit.id,site.visit,purchase.prob,activity.level,time.spent.onwebsite,attention,purchased.after.visit,review
2186738,56,1,0,0,1,4,5307541,0,0.178996539155198,0,0,6,0,0
659351,51,1,0,0,1,2,615646,0,0.167145729774113,0,0,4,0,0
2756991,51,1,0,0,1,1,3329281,0,0.166392932139987,0,0,3,0,0
3103789,57,1,0,0,2,1,9147466,0,0.165094457351224,0,0,12,0,0
3103789,57,1,0,0,2,1,8205029,0,0.164373200603208,0,0,3,0,0
421753,55,0,0,0,1,5,4423370,0,0.178206357753473,0,0,9,0,0
1846722,58,0,0,0,1,2,7046162,0,0.159647578984848,0,0,4,0,0
1833719,55,1,0,0,1,2,2138614,0,0.167377320272849,0,0,9,0,0
7554568,51,1,0,2,2,1,6245853,0,0.285444555619943,0,0,3,0,0
7554568,51,1,0,2,2,1,7363412,1,0.298941332180516,1,1,1,0,0
2880576,62,1,0,1,1,5,2912839,0,0.258925722794023,0,0,2,0,0
8678380,59,1,0,0,2,3,7633986,0,0.187404210588244,0,0,4,0,0
8678380,59,1,0,0,2,3,8351710,0,0.173129060168513,0,0,12,0,0
4026396,61,1,0,1,2,1,8659317,0,0.223705136127153,0,0,18,0,0
4026396,61,1,0,1,2,1,4482216,0,0.23425053016387,0,0,4,0,0
5726805,48,1,0,0,1,2,4396122,0,0.157536093418998,0,0,4,0,0
3506398,60,1,0,0,2,4,1503171,0,0.187592037409589,0,0,4,0,0
3506398,60,1,0,0,2,4,9096994,0,0.17184006777005,0,0,4,0,0
6719935,47,1,0,3,1,1,1113208,0,0.343050466131061,0,0,2,0,0
250502,53,1,0,0,5,6,87937,0,0.196598694488553,0,0,3,0,0
250502,53,1,0,0,5,6,2289103,0,0.194206421181156,0,0,12,0,0
250502,53,1,0,0,5,6,5252365,0,0.197807118059654,0,0,4,0,0
250502,53,1,0,0,5,6,9434948,0,0.178558362785244,0,0,18,0,0
250502,53,1,0,0,5,6,4773804,0,0.200083860690069,0,0,8,0,0
4010978,49,1,0,0,3,6,7641149,0,0.19733663132548,0,0,12,0,0
4010978,49,1,0,0,3,6,3459797,0,0.19621378883957,0,0,2,0,0
4010978,49,1,0,0,3,6,8729745,0,0.194576068374515,0,0,21,0,0
1999749,44,0,0,0,1,3,4942686,0,0.163400490091862,0,0,2,0,0
8565178,65,0,0,0,1,1,7607744,0,0.140307934354578,0,0,2,0,0
9715071,52,1,1,2,1,2,160690,1,0.297445974345796,3,2,6,0,0
3237197,54,1,0,1,1,1,4105013,0,0.228731493217002,0,0,2,0,0
7331850,54,1,0,0,1,2,733062,0,0.160620122430572,0,0,2,0,0
3400653,57,0,0,1,1,2,5307604,0,0.218570336272363,0,0,4,0,0
9767464,64,1,1,2,1,3,5177722,1,0.320974954457598,2,1,2,0,0
3970128,64,1,0,1,2,1,695992,0,0.228308846257793,0,0,3,0,0
3970128,64,1,0,1,2,1,6435798,0,0.237047373222013,0,0,6,0,0
3799954,50,1,0,0,2,5,3737925,0,0.186999394900065,0,0,4,0,0
3799954,50,1,0,0,2,5,3190456,0,0.177955137610449,0,0,2,0,0
5603825,49,0,0,0,1,3,8752418,0,0.146017468551492,0,0,2,0,0
4638039,48,0,0,0,1,3,1517116,0,0.158505937589508,0,0,4,0,0
1967750,49,1,0,0,2,1,5278094,0,0.154870512128662,0,0,4,0,0
1967750,49,1,0,0,2,1,9687532,0,0.160814611862916,0,0,20,0,0
4269394,65,1,0,2,2,1,411330,0,0.294370542620583,0,0,1,0,0
4269394,65,1,0,2,2,1,5687327,1,0.308515291233341,3,2,6,1,0
930243,56,1,0,0,2,5,4671305,0,0.178379263005465,0,0,4,0,0
930243,56,1,0,0,2,5,3442620,0,0.192435604459071,0,0,15,0,0
1153080,51,1,0,1,2,2,5847119,0,0.233761350466536,0,0,10,0,0
1153080,51,1,0,1,2,2,1137817,0,0.23245328852027,0,0,10,0,0
4400273,52,1,0,0,1,1,3077662,0,0.162450151247568,0,0,6,0,0
2009328,61,1,0,0,1,2,3721984,0,0.173323115225759,0,0,3,0,0
4276348,57,1,0,1,2,4,5716290,0,0.243746193127133,0,0,16,0,0
4276348,57,1,0,1,2,4,4928826,0,0.24621524730651,0,0,10,0,0
9805900,54,1,1,1,1,3,2159417,1,0.245065863765905,4,4,16,1,0
8289136,52,1,0,1,1,2,3644520,0,0.222580892707062,0,0,15,0,0
2869709,51,1,0,0,1,3,979150,0,0.164773535935542,0,0,8,0,0
5959107,66,1,0,1,1,9,1748785,1,0.301180631963898,2,2,4,0,0
8989625,60,1,0,3,1,4,5065883,0,0.369338495785327,0,0,16,0,0
4533722,66,1,0,0,1,3,4550581,0,0.172409960231145,0,0,2,0,0
1474162,53,1,0,0,2,2,250946,0,0.17193622059776,0,0,3,0,0
1474162,53,1,0,0,2,2,4923032,0,0.172591079087987,0,0,8,0,0
1286756,54,1,0,1,2,1,6145490,0,0.231599015027922,0,0,1,0,0
1286756,54,1,0,1,2,1,2181265,0,0.226379057591223,0,0,9,0,0
246561,50,1,0,0,1,1,5929813,0,0.158825853674535,0,0,4,0,0
7363033,54,1,0,1,4,2,3766726,0,0.22663554221606,0,0,4,0,0
7363033,54,1,0,1,4,2,9220194,0,0.228318774344199,0,0,6,0,0
7363033,54,1,0,1,4,2,9918776,0,0.23091696908026,0,0,6,0,0
7363033,54,1,0,1,4,2,9772358,0,0.226435581060629,0,0,9,0,0
3733544,58,1,0,2,1,1,5530435,1,0.300807741417561,4,4,16,1,1
5743705,62,1,0,2,2,2,5652062,0,0.293838272176934,0,0,3,0,0
5743705,62,1,0,2,2,2,1469673,0,0.297797308870131,0,0,6,0,0
8253187,58,0,0,1,1,1,7364292,0,0.20358713792018,0,0,2,0,0
8136864,58,1,0,0,1,3,7405825,0,0.177947897505977,0,0,24,0,0
8726863,62,0,0,1,1,1,7178151,0,0.207123744922309,0,0,4,0,0
1105537,61,1,0,0,1,3,468613,0,0.180960963226721,0,0,1,0,0
9526890,56,1,1,0,1,2,162259,1,0.178510726231564,4,1,4,1,0
5689954,52,1,0,0,1,4,3919077,0,0.178168190461594,0,0,2,0,0
368681,62,1,0,1,1,1,3992224,0,0.234767554464614,0,0,4,0,0
2452880,56,0,0,1,3,1,9050206,0,0.206305934933217,0,0,6,0,0
2452880,56,0,0,1,3,1,9068508,0,0.214024279938851,0,0,6,0,0
2452880,56,0,0,1,3,1,1905550,0,0.202185871851144,0,0,3,0,0
9788729,64,0,1,2,3,2,2875776,1,0.292154858975342,2,5,10,1,1
9788729,64,0,1,2,3,2,7883051,0,0.283697870828804,0,0,12,0,0
9788729,64,0,1,2,3,2,4089769,1,0.290891216265025,1,1,1,0,0
8857264,53,1,0,0,2,3,830155,0,0.179250419966796,0,0,8,0,0
8857264,53,1,0,0,2,3,4087947,0,0.176670451969435,0,0,8,0,0
2409800,50,1,0,7,1,4,8246745,1,0.640381603235731,1,4,4,1,1
7572022,58,1,0,1,2,6,6430913,0,0.256743200227414,0,0,6,0,0
7572022,58,1,0,1,2,6,4566941,0,0.256288161934837,0,0,4,0,0
5628295,52,1,0,4,3,1,2851079,1,0.419690539902511,2,4,8,1,1
5628295,52,1,0,4,3,1,615626,1,0.426653224136009,3,1,3,0,0
5628295,52,1,0,4,3,1,2076047,1,0.417869652018544,2,2,4,1,1
3050993,59,1,0,0,1,2,7246702,1,0.188472649490482,4,1,4,1,1
6936453,47,0,0,0,1,3,1311653,0,0.15279140007603,0,0,4,0,0
3359413,47,1,0,2,3,6,9502325,0,0.314889637801993,0,0,6,0,0
3359413,47,1,0,2,3,6,2487293,1,0.323892254544149,3,6,18,1,0
3359413,47,1,0,2,3,6,2979252,0,0.320520692857878,0,0,2,0,0
2061068,59,1,0,0,2,2,2064370,0,0.166996349518665,0,0,8,0,0
2061068,59,1,0,0,2,2,1249422,0,0.173329757474204,0,0,6,0,0
9192643,57,1,1,1,2,7,6822898,1,0.272875160517105,3,1,3,0,0
9192643,57,1,1,1,2,7,9526141,1,0.27817497464543,3,1,3,0,0
228122,60,1,0,4,1,1,5360113,1,0.426503674333069,3,4,12,1,1
9637470,45,1,1,0,2,2,2003636,1,0.17530804161431,2,1,2,0,0
9637470,45,1,1,0,2,2,6275925,0,0.153772023961655,0,0,4,0,0
3158611,62,0,0,0,1,3,3281344,0,0.162257907803084,0,0,6,0,0
6655995,62,1,0,4,1,2,3212204,1,0.441009758180304,2,4,8,1,1
5335361,61,1,0,2,1,3,6493329,1,0.318765160830669,2,4,8,1,1
8177856,59,1,0,2,1,1,5714413,0,0.287170125835139,0,0,2,0,0
1852610,66,1,0,0,1,7,5251067,0,0.199735814826673,0,0,27,0,0
3995120,48,1,0,1,2,1,9730664,1,0.233170990469227,3,1,3,0,0
3995120,48,1,0,1,2,1,9659538,0,0.224654308055995,0,0,2,0,0
1784508,53,1,0,1,2,1,6964998,0,0.23010346090028,0,0,3,0,0
1784508,53,1,0,1,2,1,1273314,0,0.220045365763163,0,0,2,0,0
2854302,58,1,0,0,3,2,8952100,0,0.181492344314426,0,0,4,0,0
2854302,58,1,0,0,3,2,6990317,0,0.169136266575427,0,0,6,0,0
2854302,58,1,0,0,3,2,9558173,0,0.171795200242088,0,0,4,0,0
6294609,51,1,0,0,1,1,9432253,0,0.156734319372862,0,0,8,0,0
3000960,56,0,0,0,1,2,494147,0,0.156627677543623,0,0,1,0,0
4436676,59,0,0,2,1,3,7539313,0,0.290175267480057,0,0,14,0,0
7301904,52,1,0,3,2,1,1976204,1,0.373055012688075,3,2,6,1,0
7301904,52,1,0,3,2,1,7533784,1,0.368487345201433,4,3,12,1,1
6681538,59,1,0,3,2,2,5949185,0,0.356304521792239,0,0,3,0,0
6681538,59,1,0,3,2,2,5622290,1,0.365204517108,3,4,12,1,0
3116525,58,0,0,0,1,2,560641,0,0.151800348475876,0,0,4,0,0
4785711,51,1,0,0,2,4,7830134,0,0.165855610520622,0,0,6,0,0
4785711,51,1,0,0,2,4,2029598,0,0.170310288004133,0,0,6,0,0
2914059,51,1,0,0,1,1,513072,0,0.153528916777327,0,0,4,0,0
1821715,60,1,0,2,1,2,4794481,1,0.306551429297862,3,3,9,1,1
3607572,55,1,0,1,2,3,9898725,0,0.240639492616071,0,0,6,0,0
3607572,55,1,0,1,2,3,2273768,0,0.236081068060343,0,0,4,0,0
9037863,59,0,1,0,2,4,9975921,0,0.168788133093826,0,0,12,0,0
9037863,59,0,1,0,2,4,4970875,1,0.188589455030221,1,3,3,0,0
3940416,51,1,0,1,1,5,7112949,0,0.258485502352018,0,0,8,0,0
7798686,62,1,0,0,1,1,7881640,0,0.168330954803314,0,0,9,0,0
2841546,49,1,0,0,1,3,768931,0,0.174527363400031,0,0,4,0,0
8537075,59,1,0,2,2,2,5048350,0,0.298899124994634,0,0,4,0,0
8537075,59,1,0,2,2,2,215064,0,0.303353028571973,0,0,6,0,0
1722398,58,1,0,1,1,5,7971947,0,0.257210143421228,0,0,3,0,0
792630,57,1,0,0,1,5,1182640,0,0.184837125508512,0,0,2,0,0
2920604,59,1,0,1,1,6,7318935,0,0.259613305286687,0,0,3,0,0
8403578,57,0,0,0,2,4,3954518,0,0.168010287817244,0,0,3,0,0
8403578,57,0,0,0,2,4,2574799,0,0.161965804159972,0,0,3,0,0
9452529,52,1,1,2,1,2,8090851,1,0.300150762731843,2,2,4,0,0
449645,54,1,0,3,1,4,2759774,1,0.377203036206573,3,2,6,1,1
7583706,57,0,0,1,1,6,5119812,0,0.250289669282027,0,0,6,0,0
2968832,49,1,0,0,2,4,1159132,0,0.17922437766166,0,0,2,0,0
2968832,49,1,0,0,2,4,4498443,0,0.173975532348746,0,0,10,0,0
6510437,51,1,0,1,1,5,2263542,0,0.248766026024065,0,0,4,0,0
849884,66,0,0,0,2,4,1603357,0,0.177202911183073,0,0,4,0,0
849884,66,0,0,0,2,4,7988863,0,0.169524536873601,0,0,12,0,0
9754648,45,1,1,2,1,2,3002227,1,0.305620087610381,3,1,3,0,0
136248,49,1,0,1,5,4,3155738,0,0.242010943766012,0,0,6,0,0
136248,49,1,0,1,5,4,8342766,0,0.240520030134708,0,0,16,0,0
136248,49,1,0,1,5,4,9243623,0,0.229901769992546,0,0,2,0,0
136248,49,1,0,1,5,4,7182916,0,0.238353057378984,0,0,20,0,0
136248,49,1,0,1,5,4,9942191,0,0.233337087687543,0,0,6,0,0
5388604,60,1,0,3,2,2,9841725,1,0.382874495128759,2,2,4,0,0
5388604,60,1,0,3,2,2,2330486,1,0.373077148617654,2,2,4,0,0
9657654,61,1,1,0,1,1,1637191,0,0.170849591643699,0,0,12,0,0
1010718,60,1,0,6,2,2,5403541,1,0.569755391513819,4,1,4,0,0
1010718,60,1,0,6,2,2,3588729,1,0.551865546482289,3,1,3,0,0
2567470,56,1,0,3,1,2,8540363,1,0.367019163227528,2,1,2,0,0
8951318,57,0,0,1,2,3,8700588,0,0.224698243143967,0,0,3,0,0
8951318,57,0,0,1,2,3,6292360,0,0.21649797504486,0,0,1,0,0
3879375,51,1,0,0,2,2,6635917,0,0.165672834769524,0,0,6,0,0
3879375,51,1,0,0,2,2,8554033,0,0.174701332912483,0,0,2,0,0
7942716,52,1,0,4,1,2,660559,1,0.43109653415077,3,2,6,1,0
3493907,54,1,0,1,1,4,1986730,0,0.252862787269627,0,0,4,0,0
1387419,51,1,0,0,1,2,9732878,0,0.161333047209652,0,0,2,0,0
6504975,60,1,0,0,1,3,6302567,0,0.17711495476884,0,0,3,0,0
5439946,47,1,0,0,1,4,2905956,0,0.188238719035208,0,0,2,0,0
9452271,50,1,1,0,1,1,3406479,0,0.164330125373209,0,0,6,0,0
5717354,49,1,0,2,2,3,9889104,1,0.311195676867558,3,2,6,1,1
5717354,49,1,0,2,2,3,4478506,0,0.298478671085327,0,0,15,0,0
9536163,57,1,1,1,2,2,6056987,1,0.247002213489053,3,2,6,0,0
9536163,57,1,1,1,2,2,1193730,1,0.249150599842103,2,4,8,0,0
7802388,50,1,0,3,1,6,3293789,1,0.397818197049634,2,1,2,0,0
1182823,58,1,0,0,1,3,628541,0,0.175374526243943,0,0,12,0,0
8370964,61,1,0,0,1,1,1187900,0,0.172703414798852,0,0,15,0,0
871577,56,0,0,0,2,1,2855669,0,0.143380087784972,0,0,6,0,0
871577,56,0,0,0,2,1,964893,0,0.136475001224248,0,0,1,0,0
7485860,58,1,0,3,2,1,508386,1,0.365915642568451,1,2,2,0,0
7485860,58,1,0,3,2,1,1725863,1,0.362594425876821,4,4,16,1,0
651805,52,1,0,1,2,2,7050481,0,0.229780237164972,0,0,15,0,0
651805,52,1,0,1,2,2,5928738,1,0.241251839195318,3,1,3,0,0
776942,58,1,0,0,1,2,6849791,0,0.166306044926664,0,0,7,0,0
1050818,49,1,0,1,1,3,4389953,0,0.238790989499782,0,0,6,0,0
4066786,55,0,0,0,1,3,8425645,0,0.142683763067215,0,0,12,0,0
9749458,49,1,1,0,2,5,5299625,0,0.176863465460733,0,0,4,0,0
9749458,49,1,1,0,2,5,1281577,0,0.181436914289177,0,0,3,0,0
1648304,54,1,0,1,4,4,2711552,0,0.243879201049956,0,0,4,0,0
1648304,54,1,0,1,4,4,6821189,0,0.243896731635999,0,0,4,0,0
1648304,54,1,0,1,4,4,4532795,0,0.251895482156786,0,0,2,0,0
1648304,54,1,0,1,4,4,4549857,0,0.233430524628821,0,0,3,0,0
5030405,61,1,0,0,1,2,1009748,0,0.175547862188188,0,0,18,0,0
2015503,59,1,0,0,4,2,7792003,0,0.174603631093041,0,0,6,0,0
2015503,59,1,0,0,4,2,1113979,0,0.170632354426011,0,0,4,0,0
2015503,59,1,0,0,4,2,6929842,0,0.175474519951537,0,0,15,0,0
2015503,59,1,0,0,4,2,4350285,0,0.177609708050156,0,0,9,0,0
1997180,53,0,0,1,2,4,7287942,0,0.22412552798592,0,0,6,0,0
1997180,53,0,0,1,2,4,4678351,0,0.232102203091324,0,0,3,0,0
1781317,52,0,0,0,1,5,9825654,0,0.164878592766259,0,0,6,0,0
2738613,51,1,0,0,1,3,281219,0,0.167319617853102,0,0,4,0,0
1306177,52,1,0,0,2,2,5337725,0,0.151506720835718,0,0,6,0,0
1306177,52,1,0,0,2,2,5837650,0,0.160870360703727,0,0,6,0,0
8586745,57,1,0,0,1,4,6125842,0,0.184502203685842,0,0,2,0,0
6451474,50,0,0,5,1,1,1288626,1,0.481448117925185,3,2,6,0,0
6027865,70,1,0,0,1,3,1705014,0,0.184117930452618,0,0,5,0,0
9719610,57,1,1,0,1,1,4205021,0,0.165255778096089,0,0,8,0,0
3766496,51,0,0,0,1,2,9807967,0,0.145995886129894,0,0,6,0,0
8190977,57,1,0,4,2,3,8600918,1,0.4380094429555,3,2,6,1,1
8190977,57,1,0,4,2,3,4706504,1,0.448597783595849,1,5,5,0,0
2267341,55,1,0,0,1,6,3767563,0,0.199477538525079,0,0,2,0,0
2065043,54,1,0,0,2,4,6330006,0,0.181763690385191,0,0,12,0,0
2065043,54,1,0,0,2,4,4763552,0,0.181300987698092,0,0,6,0,0
1942852,58,0,0,0,3,3,9599494,0,0.162199656120949,0,0,6,0,0
1942852,58,0,0,0,3,3,5083203,0,0.165125265350384,0,0,6,0,0
1942852,58,0,0,0,3,3,4564571,0,0.171390704911893,0,0,9,0,0
2405632,57,1,0,0,2,2,5120102,0,0.178018622984797,0,0,6,0,0
2405632,57,1,0,0,2,2,8351270,0,0.165921147039918,0,0,2,0,0
9797014,61,1,1,3,2,2,2347984,1,0.380320124574401,2,1,2,0,0
9797014,61,1,1,3,2,2,9052466,1,0.373415514918801,3,2,6,1,0
5242391,53,1,0,2,1,4,4054857,0,0.310708491252907,0,0,3,0,0
8263533,64,1,0,1,1,1,223367,0,0.237528271531542,0,0,3,0,0
6708713,48,1,0,0,2,1,3199818,0,0.162189365718755,0,0,8,0,0
6708713,48,1,0,0,2,1,9316961,0,0.153285397744944,0,0,4,0,0
9776940,56,1,1,0,1,2,6320783,1,0.175771610629466,3,3,9,1,1
576473,58,0,0,1,2,5,9477486,0,0.2385236617773,0,0,3,0,0
576473,58,0,0,1,2,5,807314,1,0.24861685256951,3,4,12,1,0
3367339,62,1,0,0,3,4,4176913,0,0.187651187151374,0,0,6,0,0
3367339,62,1,0,0,3,4,1469753,0,0.185833178864138,0,0,12,0,0
3367339,62,1,0,0,3,4,2584901,0,0.18724827479564,0,0,3,0,0
126068,49,1,0,2,3,2,8856620,0,0.287407370378376,0,0,2,0,0
126068,49,1,0,2,3,2,8524988,0,0.297543378888712,0,0,2,0,0
126068,49,1,0,2,3,2,501042,1,0.300800979013155,3,3,9,1,1
3628484,50,1,0,4,1,8,1362416,1,0.46832378718565,1,2,2,0,0
2096898,64,1,0,2,3,1,1190326,0,0.297206694109154,0,0,15,0,0
